Allan Hancock College: https://allanhancockcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
American River College: https://americanrivercollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Antelope Valley College: https://antelopevalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bakersfield College: https://bakersfieldcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Barstow Community College: https://barstowcommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Butte College: https://buttecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cabrillo College: https://cabrillocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cerritos College: https://cerritoscollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cerro Coso Community College: https://cerrocosocommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chabot College: https://athletics.chabotcollege.edu/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chaffey College: https://chaffeycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Citrus College: https://citruscollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of San Mateo: https://collegeofsanmateo.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of the Canyons: https://collegeofthecanyons.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of the Desert: https://collegeofthedesert.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of the Redwoods: https://collegeoftheredwoods.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of the Sequoias: https://collegeofthesequoias.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of the Siskiyous: https://collegeofthesiskiyous.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Compton College: https://comptoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
