Allen Community College: https://www.allencc.edu/athletics/softball/roster - Reason: Attempt 1: Roster year cannot be determined; Attempt 2: No player data found; Attempt 3: No player data found on the webpage.
Alpena Community College: https://www.alpenacc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Alvin Community College: https://www.alvincollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Anoka-Ramsey Community College: https://anokaramsey.edu/campus-life/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Arkansas State University–Mountain Home: https://www.asumh.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Barton Community College: https://bartonsports.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bevill State Community College: https://bscc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bishop State Community College: https://bishopstate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bismarck State College: https://bismarckstate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Blinn College: https://blinn.prestosports.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bossier Parish Community College: https://bpcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Brunswick Community College: https://brunswickcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bryant & Stratton College–Ohio: https://bryantstratton.bulldogs.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bryant & Stratton College–Virginia: https://bryantstratton.bulldogs.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bryant & Stratton College–Wisconsin: https://bryantstratton.bulldogs.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Butler County Community College: https://bc3athletics.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Caldwell Community College & Technical Institute: https://cccti.edu/Athletics/Softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Calhoun Community College: https://calhoun.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Camden County College: https://camdenccathletics.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Carl Albert State College: https://carlalbertsports.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Carl Sandburg College: https://sandburg.edu/Athletics/Softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
CCBC–Catonsville: https://ccbceagles.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Central Alabama Community College: https://caccathletics.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
