Bellevue College: https://bellevuecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Big Bend Community College: https://bigbendcommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Blue Mountain Community College: https://bluemountaincommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Centralia College: https://centraliacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chemeketa Community College: https://chemeketacommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clackamas Community College: https://clackamascommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clark College: https://clarkcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Columbia Basin College: https://columbiabasincollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Community Colleges of Spokane: https://communitycollegesofspokane.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Douglas College: https://douglascollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Edmonds College: https://edmondscollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Everett Community College: https://everettcommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Grays Harbor College: https://graysharborcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Highline College: https://highlinecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lower Columbia College: https://lowercolumbiacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mt. Hood Community College: https://mthoodcommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
North Idaho College: https://northidahocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Olympic College: https://olympiccollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Pierce College: https://piercecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Shoreline Community College: https://shorelinecommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Skagit Valley College: https://skagitvalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Southwestern Oregon Community College: https://southwesternoregoncommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Treasure Valley Community College: https://treasurevalleycommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Walla Walla Community College: https://wallawallacommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Wenatchee Valley College: https://wenatcheevalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Yakima Valley College: https://yakimavalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
