Abraham Baldwin Agricultural College: https://abac.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Alpena Community College: https://acclumberjacks.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Anoka-Ramsey Community College: https://arccgoldenrams.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Arizona Western College: https://awcmatadors.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Arkansas State University–Mountain Home: N/A - Reason: No URL provided
Barton Community College: https://www.bartonsports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Baton Rouge Community College: https://www.brccathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found on the page.; Attempt 3: No player data found on the page.
Bay College: https://www.baynorse.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bergen Community College: https://www.bergenccbulldogs.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bishop State Community College: https://bishopstatewildcats.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bossier Parish Community College: https://bpcc.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Brunswick Community College: https://www.gobccsports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bryant & Stratton College–Virginia: https://virginia.bscbobcats.com/sports/sball/2024-25/roster - Reason: Attempt 1: Missing player information; Attempt 2: Missing player data.; Attempt 3: No player data found on the page.
Butler Community College: https://butlergrizzlies.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Camden County College: https://www.camdenccathletics.org/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Catawba Valley Community College: https://gocvcc.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
CCBC–Catonsville: https://ccbccatonsvillecardinals.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Central Alabama Community College: N/A - Reason: No URL provided
Central Arizona College: https://centralaz.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Central Community College: https://cccraiders.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Central Lakes College: https://clcraiders.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chandler–Gilbert Community College: https://cgccathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chattahoochee Valley Community College: https://cvpirates.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chattanooga State Community College: https://chattstatetigers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chipola College: https://chipolaathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cisco College: https://www.wranglersports.net/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clarendon College: https://athletics.clarendoncollege.edu/softballroster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cleveland Community College: https://www.cccyetis.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cleveland State Community College: https://www.cscougars.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Coastal Bend College: https://cbc.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Coffeyville Community College: https://redravenathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of Central Florida: https://cfpatriots.net/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
