Allen University: https://auyellowjackets.com/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
American International College: https://www.aicyellowjackets.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Anderson University: https://autrojans.com/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bentley University: https://bentleyfalcons.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Catawba College: https://www.catawbaathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Coker University: https://cokercobras.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Ferris State University: https://ferrisstatebulldogs.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Franklin Pierce University: https://fpuravens.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mars Hill University: https://marshilllions.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Northwood University: https://www.gonorthwood.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Point Park University: https://pointparksports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Quincy University: https://quhawks.com/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Roosevelt University: https://rooseveltlakers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Saginaw Valley State University: https://svsucardinals.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
St. Thomas Aquinas College: https://stacathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Tusculum University: https://tusculumpioneers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Roster year cannot be determined; Attempt 2: No player data found on the page.; Attempt 3: Missing data for some players.
University of Bridgeport: https://www.ubknights.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Wilmington University: https://wildcats.athletics.wilmu.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
