Albertus Magnus College: https://www.albertusfalcons.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Anderson University: https://autrojans.com/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Anna Maria College: https://goamcats.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Baldwin Wallace University: https://www.bwyellowjackets.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Bethany College: https://bethanybison.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Blackburn College: https://blackburnbeavers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Carlow University: https://athletics.carlow.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Centenary College of Louisiana: https://gocentenary.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Claremont Mudd Scripps: https://cmsathletics.org/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Concordia College: https://concordiamn.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Delaware Valley University: https://athletics.delval.edu/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Eastern Nazarene College: https://athletics.enc.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Elms College: https://www.ecblazers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Emory University: https://emoryathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Eureka College: https://eurekareddevils.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fontbonne University: https://fontbonnegriffins.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Framingham State University: https://fsurams.com/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hartwick College: N/A - Reason: No URL provided
Haverford College: https://haverfordathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Huntingdon College: https://www.huntingdonhawks.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Juniata College: https://juniatasports.net/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kalamazoo College: https://hornets.kzoo.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
La Roche University: https://larochesports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lasell University: https://laserpride.lasell.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Massachusetts Maritime Academy: https://www.mmabucs.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Millikin University: https://athletics.millikin.edu/sports/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mitchell College: https://mitchellathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Muskingum University: https://fightingmuskies.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Penn State Altoona: https://www.psaltoonalions.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Penn State Behrend: https://psblions.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Penn State Harrisburg: https://athletics.hbg.psu.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Regis College: https://goregispride.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Rivier University: https://rivierathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Russell Sage College: https://sagegators.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Saint Joseph's College of Maine: https://gomonks.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Saint Mary's College: https://belles.saintmarys.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Player data is missing required fields.; Attempt 2: No player data found on the page.; Attempt 3: No player data found on the page
Salem State University: https://salemstatevikings.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Salve Regina University: https://salveathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Schreiner University: https://schreinermountaineers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
